,class,nIC50,logP,molecular_wt,havy_atom_count,hydrogen_acceptors,hydrogen_donors,rotatable_bonds,amide_bonds,ring_count,tpsa,hba,hbd,qed
85,active,7.522878745280337,1.6361999999999999,261.313,15,9,1,3,0,2,107.83000000000001,9,1,0.6603482841695779
86,active,7.522878745280337,2.0477,274.181,16,2,0,1,0,3,22.0,2,0,0.6224308831812042
87,active,6.075720713938118,4.2641000000000036,431.54400000000015,32,8,3,9,0,4,100.77999999999999,8,3,0.3638589512310325
88,inactive,5.586700235918748,3.5664000000000033,302.37,22,4,4,5,0,2,80.92,4,4,0.636536149264244
89,active,6.443697499232712,2.5524000000000004,209.25199999999998,16,3,2,0,0,3,64.93,3,2,0.4414472626928828
90,inactive,5.496209316942819,3.482420000000001,261.346,18,4,1,3,0,2,52.32,4,1,0.8604771353565335
91,active,6.026872146400302,1.4126,208.377,11,3,0,0,0,0,6.48,3,0,0.5537426119928397
92,active,6.236572006437063,5.323200000000005,331.45900000000006,25,2,0,7,0,3,20.310000000000002,2,0,0.5458796961954645
93,inactive,5.863279432843593,2.692520000000001,351.85500000000013,23,3,1,7,0,2,63.24,3,1,0.7799590000857265
94,inactive,5.33913452199613,1.0223999999999998,220.17999999999998,16,5,4,0,0,2,97.99000000000001,5,4,0.4967716692942413
95,active,7.698970004336019,2.576800000000001,270.24,20,5,3,1,0,3,90.9,5,3,0.5910546660911952
96,inactive,5.876148359032914,-0.5547000000000002,189.171,13,4,2,0,4,0,87.74000000000001,4,2,0.5000707895810634
97,inactive,5.399027104313252,2.2211,552.6790000000003,37,8,4,6,1,4,164.79999999999998,8,4,0.3355766391159357
98,active,6.657577319177793,3.6212000000000026,296.5520000000001,16,4,0,4,0,0,6.48,4,0,0.5731348904238733
